0 space 32 212222
1 ! 33 222122
2 " 34 222221
3 # 35 121223
4 $ 36 121322
5 % 37 131222
6 & 38 122213
7 ' 39 122312
8 ( 40 132212
9 ) 41 221213
10 * 42 221312
11 + 43 231212
12 , 44 112232
13 - 45 122132
14 . 46 122231
15 / 47 113222
16 0 48 123122
17 1 49 123221
18 2 50 223211
19 3 51 221132
20 4 52 221231
21 5 53 213212
22 6 54 223112
23 7 55 312131
24 8 56 311222
25 9 57 321122
26 : 58 321221
27 ; 59 312212
28 < 60 322112
29 = 61 322211
30 > 62 212123
31 ? 63 212321
32 @ 64 232121
33 A 65 111323
34 B 66 131123
35 C 67 131321
36 D 68 112313
37 E 69 132113
38 F 70 132311
39 G 71 211313
40 H 72 231113
41 I 73 231311
42 J 74 112133
43 K 75 112331
44 L 76 132131
45 M 77 113123
46 N 78 113321
47 O 79 133121
48 P 80 313121
49 Q 81 211331
50 R 82 231131
51 S 83 213113
52 T 84 213311
53 U 85 213131
54 V 86 311123
55 W 87 311321
56 X 88 331121
57 Y 89 312113
58 Z 90 312311
59 [ 91 332111
60 \ 92 314111
61 ] 93 221411
62 ^ 94 431111
63 _ 95 111224
64 ` 96 111422
65 a 97 121124
66 b 98 121421
67 c 99 141122
68 d 100 141221
69 e 101 112214
70 f 102 112412
71 g 103 122114
72 h 104 122411
73 i 105 142112
74 j 106 142211
75 k 107 241211
76 l 108 221114
77 m 109 413111
78 n 110 241112
79 o 111 134111
80 p 112 111242
81 q 113 121142
82 r 114 121241
83 s 115 114212
84 t 116 124112
85 u 117 124211
86 v 118 411212
87 w 119 421112
88 x 120 421211
89 y 121 212141
90 z 122 214121
91 { 123 412121
92 | 124 111143
93 } 125 111341
94 ~ 126 131141
95 DEL 240 114113
96 FNC3 241 114311
97 FNC2 242 411113
98 ShiftA 243 411311
99 CodeC 244 113141
100 FNC4 245 114131
101 CodeA 246 311141
102 FNC1 247 411131
103 StartCodeA 248 211412
104 StartCodeB 249 211214
105 StartCodeC 250 211232
106 Stop -1 233111
-1 ReverseStop -1 211133
-2 StopPattern 251 2331112
